elapsed_seconds,nvidia_timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,power_limit_w,gpu_utilization_percent,memory_used_mib,memory_total_mib
0.05144809999910649,2026/09/10 17:13:03.055,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2520,10501,35,14.89,450.00,2,1579,24564
5.11201119999896,2026/09/10 17:13:08.116,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2580,10251,55,450.13,450.00,100,1601,24564
10.16024710000056,2026/09/10 17:13:13.164,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2535,10251,58,449.68,450.00,100,1596,24564
15.207235199999559,2026/09/10 17:13:18.212,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2535,10251,60,449.33,450.00,100,1596,24564
20.256113299998106,2026/09/10 17:13:23.260,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2520,10251,62,450.40,450.00,100,1596,24564
25.317441499999404,2026/09/10 17:13:28.321,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2535,10251,64,448.60,450.00,100,1605,24564
30.377020599997195,2026/09/10 17:13:33.380,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,66,449.92,450.00,100,1604,24564
35.43727559999752,2026/09/10 17:13:38.441,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,67,449.73,450.00,100,1604,24564
40.49692199999845,2026/09/10 17:13:43.501,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,69,449.55,450.00,100,1604,24564
45.544696799999656,2026/09/10 17:13:48.548,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,70,449.66,450.00,100,1604,24564
50.609424299997045,2026/09/10 17:13:53.612,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,71,450.27,450.00,100,1604,24564
55.65897629999745,2026/09/10 17:13:58.662,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,72,449.85,450.00,100,1604,24564
